NAME                                  CPU %               MEM %
coco-one-ros-dev                      182.35%             26.72%
coco-host-handlers                    0.34%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.29%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.38%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  9.11%               2.61%
streamer                              95.40%              2.66%
connectador                           12.46%              0.30%
driveui-streamer                      0.70%               0.37%
gateway-streamer                      0.04%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      173.81%             26.72%
coco-host-handlers                    0.26%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.26%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.17%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.88%               2.61%
streamer                              95.66%              2.66%
connectador                           12.38%              0.30%
driveui-streamer                      0.61%               0.37%
gateway-streamer                      0.05%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      249.36%             26.72%
coco-host-handlers                    7.85%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.34%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.11%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.96%               2.61%
streamer                              96.29%              2.66%
connectador                           11.43%              0.30%
driveui-streamer                      0.59%               0.37%
gateway-streamer                      0.26%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      176.34%             26.69%
coco-host-handlers                    0.32%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.26%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.37%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  8.41%               2.61%
streamer                              98.87%              2.66%
connectador                           11.61%              0.31%
driveui-streamer                      0.62%               0.37%
gateway-streamer                      0.10%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      177.42%             26.69%
coco-host-handlers                    0.38%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.28%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.03%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.75%               2.61%
streamer                              99.23%              2.66%
connectador                           12.00%              0.31%
driveui-streamer                      0.64%               0.37%
gateway-streamer                      0.03%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      193.68%             26.69%
coco-host-handlers                    0.47%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.27%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.20%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.47%               2.61%
streamer                              94.15%              2.66%
connectador                           11.04%              0.30%
driveui-streamer                      0.57%               0.37%
gateway-streamer                      0.38%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      180.59%             26.70%
coco-host-handlers                    0.36%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.25%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.26%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  9.00%               2.61%
streamer                              99.03%              2.66%
connectador                           11.27%              0.30%
driveui-streamer                      0.61%               0.37%
gateway-streamer                      0.04%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      193.68%             26.72%
coco-host-handlers                    0.25%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.28%               0.89%
coco-file-uploader                    0.02%               0.68%
coco-one-docker-cloudwatchlogs        1.16%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.52%               2.61%
streamer                              94.44%              2.66%
connectador                           12.04%              0.30%
driveui-streamer                      0.66%               0.37%
gateway-streamer                      0.04%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      232.83%             26.72%
coco-host-handlers                    0.49%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.34%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.07%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.57%               2.61%
streamer                              93.32%              2.66%
connectador                           11.44%              0.30%
driveui-streamer                      0.61%               0.37%
gateway-streamer                      0.28%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      183.28%             26.72%
coco-host-handlers                    0.35%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.32%               0.89%
